gene	Sham_C.Sham_WNV	Sham_C.Sham_JEV	Sham_C.WNVp_JEV	Name	description	attributes
CPIJ004713	0	0	1		Mitochondrial ATP synthase F chain [Source:UniProtKB/TrEMBL%3BAcc:B0WDF3]	ID=gene:CPIJ004713;biotype=protein_coding;description=Mitochondrial ATP synthase F chain [Source:UniProtKB/TrEMBL%3BAcc:B0WDF3];gene_id=CPIJ004713;logic_name=vectorbase_culex
CPIJ004721	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WDG1]	ID=gene:CPIJ004721;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WDG1];gene_id=CPIJ004721;logic_name=vectorbase_culex
CPIJ004780	1	0	0		Serine palmitoyltransferase [Source:UniProtKB/TrEMBL%3BAcc:B0WCF6]	ID=gene:CPIJ004780;biotype=protein_coding;description=Serine palmitoyltransferase [Source:UniProtKB/TrEMBL%3BAcc:B0WCF6];gene_id=CPIJ004780;logic_name=vectorbase_culex
CPIJ004814	0	0	1		Proteasome maturation protein [Source:UniProtKB/TrEMBL%3BAcc:B0WCJ0]	ID=gene:CPIJ004814;biotype=protein_coding;description=Proteasome maturation protein [Source:UniProtKB/TrEMBL%3BAcc:B0WCJ0];gene_id=CPIJ004814;logic_name=vectorbase_culex
CPIJ004829	0	0	1		cytochrome c oxidase%2C subunit VB%2C putative [Source:VB Community Annotation]	ID=gene:CPIJ004829;biotype=protein_coding;description=cytochrome c oxidase%2C subunit VB%2C putative [Source:VB Community Annotation];gene_id=CPIJ004829;logic_name=vectorbase_culex
CPIJ004841	1	0	0		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WCQ6]	ID=gene:CPIJ004841;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WCQ6];gene_id=CPIJ004841;logic_name=vectorbase_culex
CPIJ004850	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WCR5]	ID=gene:CPIJ004850;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WCR5];gene_id=CPIJ004850;logic_name=vectorbase_culex
CPIJ004860	0	0	1		Uncharacterized protein (Fragment) (Fragment) [Source:UniProtKB/TrEMBL%3BAcc:B0WCS5]	ID=gene:CPIJ004860;biotype=protein_coding;description=Uncharacterized protein (Fragment) (Fragment) [Source:UniProtKB/TrEMBL%3BAcc:B0WCS5];gene_id=CPIJ004860;logic_name=vectorbase_culex
CPIJ004888	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WCY4]	ID=gene:CPIJ004888;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WCY4];gene_id=CPIJ004888;logic_name=vectorbase_culex
CPIJ004935	0	0	1		60S ribosomal protein L22 [Source:UniProtKB/TrEMBL%3BAcc:B0WCM2]	ID=gene:CPIJ004935;biotype=protein_coding;description=60S ribosomal protein L22 [Source:UniProtKB/TrEMBL%3BAcc:B0WCM2];gene_id=CPIJ004935;logic_name=vectorbase_culex
CPIJ005009	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WD66]	ID=gene:CPIJ005009;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WD66];gene_id=CPIJ005009;logic_name=vectorbase_culex
CPIJ005035	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WDU2]	ID=gene:CPIJ005035;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WDU2];gene_id=CPIJ005035;logic_name=vectorbase_culex
CPIJ005052	1	0	0		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WDV9]	ID=gene:CPIJ005052;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WDV9];gene_id=CPIJ005052;logic_name=vectorbase_culex
CPIJ005108	0	0	1	CecB1	Cecropin N [Source:UniProtKB/TrEMBL%3BAcc:B0WDY4]	ID=gene:CPIJ005108;Name=CecB1;biotype=protein_coding;description=Cecropin N [Source:UniProtKB/TrEMBL%3BAcc:B0WDY4];gene_id=CPIJ005108;logic_name=vectorbase_culex
CPIJ005137	0	0	1		Sec61 protein complex gamma subunit%2C putative [Source:VB Community Annotation]	ID=gene:CPIJ005137;biotype=protein_coding;description=Sec61 protein complex gamma subunit%2C putative [Source:VB Community Annotation];gene_id=CPIJ005137;logic_name=vectorbase_culex
CPIJ005155	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WE01]	ID=gene:CPIJ005155;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WE01];gene_id=CPIJ005155;logic_name=vectorbase_culex
CPIJ005172	0	0	1		GTP-binding protein [Source:UniProtKB/TrEMBL%3BAcc:B0WE18]	ID=gene:CPIJ005172;biotype=protein_coding;description=GTP-binding protein [Source:UniProtKB/TrEMBL%3BAcc:B0WE18];gene_id=CPIJ005172;logic_name=vectorbase_culex
CPIJ005240	0	0	1		latent nuclear antigen%2C putative [Source:VB Community Annotation]	ID=gene:CPIJ005240;biotype=protein_coding;description=latent nuclear antigen%2C putative [Source:VB Community Annotation];gene_id=CPIJ005240;logic_name=vectorbase_culex
CPIJ005263	0	0	1		ribosome biogenesis regulatory protein%2C putative [Source:VB Community Annotation]	ID=gene:CPIJ005263;biotype=protein_coding;description=ribosome biogenesis regulatory protein%2C putative [Source:VB Community Annotation];gene_id=CPIJ005263;logic_name=vectorbase_culex
CPIJ005268	0	0	1		brain protein 44 [Source:VB Community Annotation]	ID=gene:CPIJ005268;biotype=protein_coding;description=brain protein 44 [Source:VB Community Annotation];gene_id=CPIJ005268;logic_name=vectorbase_culex
CPIJ005275	1	0	0		PIWI [Source:UniProtKB/TrEMBL%3BAcc:B0WE96]	ID=gene:CPIJ005275;biotype=protein_coding;description=PIWI [Source:UniProtKB/TrEMBL%3BAcc:B0WE96];gene_id=CPIJ005275;logic_name=vectorbase_culex
CPIJ005304	0	0	1		DNA-directed RNA polymerase II subunit J [Source:UniProtKB/TrEMBL%3BAcc:B0WDB4]	ID=gene:CPIJ005304;biotype=protein_coding;description=DNA-directed RNA polymerase II subunit J [Source:UniProtKB/TrEMBL%3BAcc:B0WDB4];gene_id=CPIJ005304;logic_name=vectorbase_culex
CPIJ005309	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WD82]	ID=gene:CPIJ005309;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WD82];gene_id=CPIJ005309;logic_name=vectorbase_culex
CPIJ005325	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WDI3]	ID=gene:CPIJ005325;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WDI3];gene_id=CPIJ005325;logic_name=vectorbase_culex
CPIJ005330	0	0	1		60S ribosome subunit biogenesis protein NIP7 homolog [Source:UniProtKB/TrEMBL%3BAcc:B0WDI8]	ID=gene:CPIJ005330;biotype=protein_coding;description=60S ribosome subunit biogenesis protein NIP7 homolog [Source:UniProtKB/TrEMBL%3BAcc:B0WDI8];gene_id=CPIJ005330;logic_name=vectorbase_culex
CPIJ005339	1	0	0		ATP-binding cassette transporter [Source:UniProtKB/TrEMBL%3BAcc:B0WDJ7]	ID=gene:CPIJ005339;biotype=protein_coding;description=ATP-binding cassette transporter [Source:UniProtKB/TrEMBL%3BAcc:B0WDJ7];gene_id=CPIJ005339;logic_name=vectorbase_culex
CPIJ005351	0	0	1		28S ribosomal protein S24%2C mitochondrial precursor [Source:VB Community Annotation]	ID=gene:CPIJ005351;biotype=protein_coding;description=28S ribosomal protein S24%2C mitochondrial precursor [Source:VB Community Annotation];gene_id=CPIJ005351;logic_name=vectorbase_culex
CPIJ005370	0	0	1			ID=gene:CPIJ005370;biotype=protein_coding;gene_id=CPIJ005370;logic_name=vectorbase_culex
CPIJ005377	0	0	1		16.8 kDa salivary protein [Source:UniProtKB/TrEMBL%3BAcc:B0WF42]	ID=gene:CPIJ005377;biotype=protein_coding;description=16.8 kDa salivary protein [Source:UniProtKB/TrEMBL%3BAcc:B0WF42];gene_id=CPIJ005377;logic_name=vectorbase_culex
CPIJ005436	0	0	1		Mitochondrial 28S ribosomal protein S28 [Source:UniProtKB/TrEMBL%3BAcc:B0WEG4]	ID=gene:CPIJ005436;biotype=protein_coding;description=Mitochondrial 28S ribosomal protein S28 [Source:UniProtKB/TrEMBL%3BAcc:B0WEG4];gene_id=CPIJ005436;logic_name=vectorbase_culex
CPIJ005440	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WEG8]	ID=gene:CPIJ005440;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WEG8];gene_id=CPIJ005440;logic_name=vectorbase_culex
CPIJ005476	1	0	0		sorting nexin%2C putative [Source:VB Community Annotation]	ID=gene:CPIJ005476;biotype=protein_coding;description=sorting nexin%2C putative [Source:VB Community Annotation];gene_id=CPIJ005476;logic_name=vectorbase_culex
CPIJ005492	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WE35]	ID=gene:CPIJ005492;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WE35];gene_id=CPIJ005492;logic_name=vectorbase_culex
CPIJ005507	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WE50]	ID=gene:CPIJ005507;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WE50];gene_id=CPIJ005507;logic_name=vectorbase_culex
CPIJ005575	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WGI1]	ID=gene:CPIJ005575;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WGI1];gene_id=CPIJ005575;logic_name=vectorbase_culex
CPIJ005576	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WGI2]	ID=gene:CPIJ005576;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WGI2];gene_id=CPIJ005576;logic_name=vectorbase_culex
CPIJ005588	0	0	1		Small nuclear ribonucleoprotein Sm D3 [Source:UniProtKB/TrEMBL%3BAcc:B0WEA6]	ID=gene:CPIJ005588;biotype=protein_coding;description=Small nuclear ribonucleoprotein Sm D3 [Source:UniProtKB/TrEMBL%3BAcc:B0WEA6];gene_id=CPIJ005588;logic_name=vectorbase_culex
CPIJ005613	0	0	1		60S ribosomal protein L38 [Source:UniProtKB/TrEMBL%3BAcc:B0WED1]	ID=gene:CPIJ005613;biotype=protein_coding;description=60S ribosomal protein L38 [Source:UniProtKB/TrEMBL%3BAcc:B0WED1];gene_id=CPIJ005613;logic_name=vectorbase_culex
CPIJ005646	0	0	1		alphaA-crystallin%2C putative [Source:VB Community Annotation]	ID=gene:CPIJ005646;biotype=protein_coding;description=alphaA-crystallin%2C putative [Source:VB Community Annotation];gene_id=CPIJ005646;logic_name=vectorbase_culex
CPIJ005652	0	0	1		40S ribosomal protein S27 [Source:UniProtKB/TrEMBL%3BAcc:B0WER7]	ID=gene:CPIJ005652;biotype=protein_coding;description=40S ribosomal protein S27 [Source:UniProtKB/TrEMBL%3BAcc:B0WER7];gene_id=CPIJ005652;logic_name=vectorbase_culex
CPIJ005706	1	0	1		ubiquitin carboxyl-terminal hydrolase 5 [Source:VB Community Annotation]	ID=gene:CPIJ005706;biotype=protein_coding;description=ubiquitin carboxyl-terminal hydrolase 5 [Source:VB Community Annotation];gene_id=CPIJ005706;logic_name=vectorbase_culex
CPIJ005722	0	0	1		Prefoldin subunit 6 [Source:UniProtKB/TrEMBL%3BAcc:B0WEL1]	ID=gene:CPIJ005722;biotype=protein_coding;description=Prefoldin subunit 6 [Source:UniProtKB/TrEMBL%3BAcc:B0WEL1];gene_id=CPIJ005722;logic_name=vectorbase_culex
CPIJ005747	0	1	0		neuroglobin%2C putative [Source:VB Community Annotation]	ID=gene:CPIJ005747;biotype=protein_coding;description=neuroglobin%2C putative [Source:VB Community Annotation];gene_id=CPIJ005747;logic_name=vectorbase_culex
CPIJ005753	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WEP2]	ID=gene:CPIJ005753;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WEP2];gene_id=CPIJ005753;logic_name=vectorbase_culex
CPIJ005770	0	0	1		Transcription elongation factor 1 homolog [Source:UniProtKB/TrEMBL%3BAcc:B0WEX0]	ID=gene:CPIJ005770;biotype=protein_coding;description=Transcription elongation factor 1 homolog [Source:UniProtKB/TrEMBL%3BAcc:B0WEX0];gene_id=CPIJ005770;logic_name=vectorbase_culex
CPIJ005771	0	0	1		protein bolA [Source:VB Community Annotation]	ID=gene:CPIJ005771;biotype=protein_coding;description=protein bolA [Source:VB Community Annotation];gene_id=CPIJ005771;logic_name=vectorbase_culex
CPIJ005783	0	0	1		Signal peptidase complex subunit 1 [Source:UniProtKB/TrEMBL%3BAcc:B0WEY3]	ID=gene:CPIJ005783;biotype=protein_coding;description=Signal peptidase complex subunit 1 [Source:UniProtKB/TrEMBL%3BAcc:B0WEY3];gene_id=CPIJ005783;logic_name=vectorbase_culex
CPIJ005818	0	0	1		13 kDa ribonucleoprotein-associated protein [Source:UniProtKB/TrEMBL%3BAcc:B0WGK5]	ID=gene:CPIJ005818;biotype=protein_coding;description=13 kDa ribonucleoprotein-associated protein [Source:UniProtKB/TrEMBL%3BAcc:B0WGK5];gene_id=CPIJ005818;logic_name=vectorbase_culex
CPIJ005830-RB	0	0	1	NA	NA	NA
CPIJ005845	0	0	1		Uncharacterized protein (Fragment) (Fragment) [Source:UniProtKB/TrEMBL%3BAcc:B0WGN2]	ID=gene:CPIJ005845;biotype=protein_coding;description=Uncharacterized protein (Fragment) (Fragment) [Source:UniProtKB/TrEMBL%3BAcc:B0WGN2];gene_id=CPIJ005845;logic_name=vectorbase_culex
CPIJ005853	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WG44]	ID=gene:CPIJ005853;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WG44];gene_id=CPIJ005853;logic_name=vectorbase_culex
CPIJ005859	0	0	1		DNA-directed RNA polymerase II 7.6 kDa polypeptide [Source:UniProtKB/TrEMBL%3BAcc:B0WG50]	ID=gene:CPIJ005859;biotype=protein_coding;description=DNA-directed RNA polymerase II 7.6 kDa polypeptide [Source:UniProtKB/TrEMBL%3BAcc:B0WG50];gene_id=CPIJ005859;logic_name=vectorbase_culex
CPIJ005874	0	0	1		late histone H2A.3 [Source:VB Community Annotation]	ID=gene:CPIJ005874;biotype=protein_coding;description=late histone H2A.3 [Source:VB Community Annotation];gene_id=CPIJ005874;logic_name=vectorbase_culex
CPIJ005878	0	0	1		60S ribosomal protein L27 [Source:UniProtKB/TrEMBL%3BAcc:B0WG69]	ID=gene:CPIJ005878;biotype=protein_coding;description=60S ribosomal protein L27 [Source:UniProtKB/TrEMBL%3BAcc:B0WG69];gene_id=CPIJ005878;logic_name=vectorbase_culex
CPIJ005882	0	0	1	e(y)2	Enhancer of yellow 2 transcription factor [Source:UniProtKB/Swiss-Prot%3BAcc:B0WG73]	ID=gene:CPIJ005882;Name=e(y)2;biotype=protein_coding;description=Enhancer of yellow 2 transcription factor [Source:UniProtKB/Swiss-Prot%3BAcc:B0WG73];gene_id=CPIJ005882;logic_name=vectorbase_culex
CPIJ005898	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WG89]	ID=gene:CPIJ005898;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WG89];gene_id=CPIJ005898;logic_name=vectorbase_culex
CPIJ005910	0	0	1		7.8 kDa basic salivary peptide%2C putative [Source:VB Community Annotation]	ID=gene:CPIJ005910;biotype=protein_coding;description=7.8 kDa basic salivary peptide%2C putative [Source:VB Community Annotation];gene_id=CPIJ005910;logic_name=vectorbase_culex
CPIJ005932	0	0	1		Trafficking protein particle complex subunit 6B [Source:UniProtKB/TrEMBL%3BAcc:B0WF96]	ID=gene:CPIJ005932;biotype=protein_coding;description=Trafficking protein particle complex subunit 6B [Source:UniProtKB/TrEMBL%3BAcc:B0WF96];gene_id=CPIJ005932;logic_name=vectorbase_culex
CPIJ005969	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WFD3]	ID=gene:CPIJ005969;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WFD3];gene_id=CPIJ005969;logic_name=vectorbase_culex
CPIJ006030	0	0	1		ubiquinol-cytochrome c reductase complex 14 kDa protein [Source:VB Community Annotation]	ID=gene:CPIJ006030;biotype=protein_coding;description=ubiquinol-cytochrome c reductase complex 14 kDa protein [Source:VB Community Annotation];gene_id=CPIJ006030;logic_name=vectorbase_culex
CPIJ006051	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WFI1]	ID=gene:CPIJ006051;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WFI1];gene_id=CPIJ006051;logic_name=vectorbase_culex
CPIJ006101	0	0	1		40S ribosomal protein S14-A [Source:UniProtKB/TrEMBL%3BAcc:B0WH00]	ID=gene:CPIJ006101;biotype=protein_coding;description=40S ribosomal protein S14-A [Source:UniProtKB/TrEMBL%3BAcc:B0WH00];gene_id=CPIJ006101;logic_name=vectorbase_culex
CPIJ006105	0	0	1		cyclin-dependent kinases regulatory subunit 1 [Source:VB Community Annotation]	ID=gene:CPIJ006105;biotype=protein_coding;description=cyclin-dependent kinases regulatory subunit 1 [Source:VB Community Annotation];gene_id=CPIJ006105;logic_name=vectorbase_culex
CPIJ006110	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WH09]	ID=gene:CPIJ006110;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WH09];gene_id=CPIJ006110;logic_name=vectorbase_culex
CPIJ006111	1	0	0		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WH10]	ID=gene:CPIJ006111;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WH10];gene_id=CPIJ006111;logic_name=vectorbase_culex
CPIJ006148	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WFV8]	ID=gene:CPIJ006148;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WFV8];gene_id=CPIJ006148;logic_name=vectorbase_culex
CPIJ006168	0	0	1		Acyl carrier protein [Source:UniProtKB/TrEMBL%3BAcc:B0WFX8]	ID=gene:CPIJ006168;biotype=protein_coding;description=Acyl carrier protein [Source:UniProtKB/TrEMBL%3BAcc:B0WFX8];gene_id=CPIJ006168;logic_name=vectorbase_culex
CPIJ006198	1	0	0		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WGU9]	ID=gene:CPIJ006198;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WGU9];gene_id=CPIJ006198;logic_name=vectorbase_culex
CPIJ006218	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WGW9]	ID=gene:CPIJ006218;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WGW9];gene_id=CPIJ006218;logic_name=vectorbase_culex
CPIJ006225	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WGX6]	ID=gene:CPIJ006225;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WGX6];gene_id=CPIJ006225;logic_name=vectorbase_culex
CPIJ006236	1	0	0		Serine/threonine-protein kinase polo [Source:UniProtKB/TrEMBL%3BAcc:B0WG03]	ID=gene:CPIJ006236;biotype=protein_coding;description=Serine/threonine-protein kinase polo [Source:UniProtKB/TrEMBL%3BAcc:B0WG03];gene_id=CPIJ006236;logic_name=vectorbase_culex
CPIJ006244	1	0	0		ATP-dependent RNA helicase DBP4 [Source:VB Community Annotation]	ID=gene:CPIJ006244;biotype=protein_coding;description=ATP-dependent RNA helicase DBP4 [Source:VB Community Annotation];gene_id=CPIJ006244;logic_name=vectorbase_culex
CPIJ006341	0	0	1		Putative uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WGP4]	ID=gene:CPIJ006341;biotype=protein_coding;description=Putative uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WGP4];gene_id=CPIJ006341;logic_name=vectorbase_culex
CPIJ006342	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WGP5]	ID=gene:CPIJ006342;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WGP5];gene_id=CPIJ006342;logic_name=vectorbase_culex
CPIJ006348	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WGQ1]	ID=gene:CPIJ006348;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WGQ1];gene_id=CPIJ006348;logic_name=vectorbase_culex
CPIJ006359	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WGR2]	ID=gene:CPIJ006359;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WGR2];gene_id=CPIJ006359;logic_name=vectorbase_culex
CPIJ006367	0	0	1		Transmembrane protein 93 [Source:UniProtKB/TrEMBL%3BAcc:B0WGS0]	ID=gene:CPIJ006367;biotype=protein_coding;description=Transmembrane protein 93 [Source:UniProtKB/TrEMBL%3BAcc:B0WGS0];gene_id=CPIJ006367;logic_name=vectorbase_culex
CPIJ006410	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WHU9]	ID=gene:CPIJ006410;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WHU9];gene_id=CPIJ006410;logic_name=vectorbase_culex
CPIJ006480	0	0	1		40S ribosomal protein S26 [Source:UniProtKB/TrEMBL%3BAcc:B0WI19]	ID=gene:CPIJ006480;biotype=protein_coding;description=40S ribosomal protein S26 [Source:UniProtKB/TrEMBL%3BAcc:B0WI19];gene_id=CPIJ006480;logic_name=vectorbase_culex
CPIJ006514	0	0	1		Putative uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WHL4]	ID=gene:CPIJ006514;biotype=protein_coding;description=Putative uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WHL4];gene_id=CPIJ006514;logic_name=vectorbase_culex
CPIJ006518	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WHL8]	ID=gene:CPIJ006518;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WHL8];gene_id=CPIJ006518;logic_name=vectorbase_culex
CPIJ006526	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WHM6]	ID=gene:CPIJ006526;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WHM6];gene_id=CPIJ006526;logic_name=vectorbase_culex
CPIJ006606	1	0	0		Molybdopterin cofactor synthesis protein a [Source:UniProtKB/TrEMBL%3BAcc:B0WI50]	ID=gene:CPIJ006606;biotype=protein_coding;description=Molybdopterin cofactor synthesis protein a [Source:UniProtKB/TrEMBL%3BAcc:B0WI50];gene_id=CPIJ006606;logic_name=vectorbase_culex
CPIJ006623	0	0	1		40S ribosomal protein S11 [Source:UniProtKB/TrEMBL%3BAcc:B0WHB4]	ID=gene:CPIJ006623;biotype=protein_coding;description=40S ribosomal protein S11 [Source:UniProtKB/TrEMBL%3BAcc:B0WHB4];gene_id=CPIJ006623;logic_name=vectorbase_culex
CPIJ006633	0	0	1		60S acidic ribosomal protein P2 [Source:UniProtKB/TrEMBL%3BAcc:B0WHC4]	ID=gene:CPIJ006633;biotype=protein_coding;description=60S acidic ribosomal protein P2 [Source:UniProtKB/TrEMBL%3BAcc:B0WHC4];gene_id=CPIJ006633;logic_name=vectorbase_culex
CPIJ006671	0	0	1		40S ribosomal protein S8 [Source:VB Community Annotation]	ID=gene:CPIJ006671;biotype=protein_coding;description=40S ribosomal protein S8 [Source:VB Community Annotation];gene_id=CPIJ006671;logic_name=vectorbase_culex
CPIJ006701	0	0	1		26S proteasome non-ATPase regulatory subunit 1 [Source:UniProtKB/TrEMBL%3BAcc:B0WHS5]	ID=gene:CPIJ006701;biotype=protein_coding;description=26S proteasome non-ATPase regulatory subunit 1 [Source:UniProtKB/TrEMBL%3BAcc:B0WHS5];gene_id=CPIJ006701;logic_name=vectorbase_culex
CPIJ006706	0	0	1			ID=gene:CPIJ006706;biotype=protein_coding;gene_id=CPIJ006706;logic_name=vectorbase_culex
CPIJ006712	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WHT6]	ID=gene:CPIJ006712;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WHT6];gene_id=CPIJ006712;logic_name=vectorbase_culex
CPIJ006734	0	0	1		DNA-directed RNA polymerase II 16 kDa polypeptide [Source:UniProtKB/TrEMBL%3BAcc:B0WK75]	ID=gene:CPIJ006734;biotype=protein_coding;description=DNA-directed RNA polymerase II 16 kDa polypeptide [Source:UniProtKB/TrEMBL%3BAcc:B0WK75];gene_id=CPIJ006734;logic_name=vectorbase_culex
CPIJ006764	0	0	1	RpS20	40S ribosomal protein S20 [Source:UniProtKB/TrEMBL%3BAcc:B0WHH1]	ID=gene:CPIJ006764;Name=RpS20;biotype=protein_coding;description=40S ribosomal protein S20 [Source:UniProtKB/TrEMBL%3BAcc:B0WHH1];gene_id=CPIJ006764;logic_name=vectorbase_culex
CPIJ006770	0	0	1		Glucosamine-fructose-6-phosphate aminotransferase 2 [Source:UniProtKB/TrEMBL%3BAcc:B0WHH6]	ID=gene:CPIJ006770;biotype=protein_coding;description=Glucosamine-fructose-6-phosphate aminotransferase 2 [Source:UniProtKB/TrEMBL%3BAcc:B0WHH6];gene_id=CPIJ006770;logic_name=vectorbase_culex
CPIJ006800	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WID5]	ID=gene:CPIJ006800;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WID5];gene_id=CPIJ006800;logic_name=vectorbase_culex
CPIJ006801	0	0	1		Salivary C-type lectin [Source:UniProtKB/TrEMBL%3BAcc:B0WID6]	ID=gene:CPIJ006801;biotype=protein_coding;description=Salivary C-type lectin [Source:UniProtKB/TrEMBL%3BAcc:B0WID6];gene_id=CPIJ006801;logic_name=vectorbase_culex
CPIJ006804	0	0	1		Salivary C-type lectin [Source:UniProtKB/TrEMBL%3BAcc:B0WID9]	ID=gene:CPIJ006804;biotype=protein_coding;description=Salivary C-type lectin [Source:UniProtKB/TrEMBL%3BAcc:B0WID9];gene_id=CPIJ006804;logic_name=vectorbase_culex
