gene	WNVp_C.WNVp_WNV	Sham_WNV.WNVp_WNV	WNVp_WNV.WNVp_JEV	Sham_JEV.WNVp_JEV	Sham_C.Sham_WNV	Sham_C.Sham_JEV	Sham_C.WNVp_JEV	Name	description	attributes
CPIJ002096	1	0	0	0	1	0	0		Importin-7 [Source:UniProtKB/TrEMBL%3BAcc:B0W3T0]	ID=gene:CPIJ002096;biotype=protein_coding;description=Importin-7 [Source:UniProtKB/TrEMBL%3BAcc:B0W3T0];gene_id=CPIJ002096;logic_name=vectorbase_culex
CPIJ002099	0	0	1	1	0	0	0		NADH-ubiquinone oxidoreductase sgdh subunit [Source:UniProtKB/TrEMBL%3BAcc:B0W3T3]	ID=gene:CPIJ002099;biotype=protein_coding;description=NADH-ubiquinone oxidoreductase sgdh subunit [Source:UniProtKB/TrEMBL%3BAcc:B0W3T3];gene_id=CPIJ002099;logic_name=vectorbase_culex
CPIJ002100	0	0	1	1	0	0	0	APG12	autophagy related gene [Source:VB Community Annotation]	ID=gene:CPIJ002100;Name=APG12;biotype=protein_coding;description=autophagy related gene [Source:VB Community Annotation];gene_id=CPIJ002100;logic_name=vectorbase_culex
CPIJ002111	0	0	0	1	0	0	0		Odorant-binding protein 50d [Source:UniProtKB/TrEMBL%3BAcc:B0W3U5]	ID=gene:CPIJ002111;biotype=protein_coding;description=Odorant-binding protein 50d [Source:UniProtKB/TrEMBL%3BAcc:B0W3U5];gene_id=CPIJ002111;logic_name=vectorbase_culex
CPIJ002112	0	0	0	1	0	0	0		serine protease nudel precursor [Source:VB Community Annotation]	ID=gene:CPIJ002112;biotype=protein_coding;description=serine protease nudel precursor [Source:VB Community Annotation];gene_id=CPIJ002112;logic_name=vectorbase_culex
CPIJ002116	0	0	0	1	0	0	0		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W3V0]	ID=gene:CPIJ002116;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W3V0];gene_id=CPIJ002116;logic_name=vectorbase_culex
CPIJ002119	0	0	0	1	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W3V3]	ID=gene:CPIJ002119;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W3V3];gene_id=CPIJ002119;logic_name=vectorbase_culex
CPIJ002144	0	0	1	1	0	0	0		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W3X8]	ID=gene:CPIJ002144;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W3X8];gene_id=CPIJ002144;logic_name=vectorbase_culex
CPIJ002154	0	0	1	1	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W3Y8]	ID=gene:CPIJ002154;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W3Y8];gene_id=CPIJ002154;logic_name=vectorbase_culex
CPIJ002158	0	0	1	1	0	0	0		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W3Z2]	ID=gene:CPIJ002158;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W3Z2];gene_id=CPIJ002158;logic_name=vectorbase_culex
CPIJ002163	0	0	1	1	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W3Z7]	ID=gene:CPIJ002163;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W3Z7];gene_id=CPIJ002163;logic_name=vectorbase_culex
CPIJ002168	0	0	0	1	0	0	0		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W402]	ID=gene:CPIJ002168;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W402];gene_id=CPIJ002168;logic_name=vectorbase_culex
CPIJ002172	0	0	0	1	0	0	0		Oligopeptide transporter [Source:UniProtKB/TrEMBL%3BAcc:B0W557]	ID=gene:CPIJ002172;biotype=protein_coding;description=Oligopeptide transporter [Source:UniProtKB/TrEMBL%3BAcc:B0W557];gene_id=CPIJ002172;logic_name=vectorbase_culex
CPIJ002182	0	0	1	1	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W567]	ID=gene:CPIJ002182;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W567];gene_id=CPIJ002182;logic_name=vectorbase_culex
CPIJ002183	0	0	1	1	0	0	1		60S ribosomal protein L21 [Source:UniProtKB/TrEMBL%3BAcc:B0W568]	ID=gene:CPIJ002183;biotype=protein_coding;description=60S ribosomal protein L21 [Source:UniProtKB/TrEMBL%3BAcc:B0W568];gene_id=CPIJ002183;logic_name=vectorbase_culex
CPIJ002192	0	0	1	1	0	0	0		protein aveugle [Source:VB Community Annotation]	ID=gene:CPIJ002192;biotype=protein_coding;description=protein aveugle [Source:VB Community Annotation];gene_id=CPIJ002192;logic_name=vectorbase_culex
CPIJ002196	0	0	0	1	0	0	0		Lysine-specific histone demethylase [Source:UniProtKB/TrEMBL%3BAcc:B0W581]	ID=gene:CPIJ002196;biotype=protein_coding;description=Lysine-specific histone demethylase [Source:UniProtKB/TrEMBL%3BAcc:B0W581];gene_id=CPIJ002196;logic_name=vectorbase_culex
CPIJ002214	0	0	1	1	0	0	0		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W599]	ID=gene:CPIJ002214;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W599];gene_id=CPIJ002214;logic_name=vectorbase_culex
CPIJ002236	0	0	1	1	0	0	0		Putative uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W5B7]	ID=gene:CPIJ002236;biotype=protein_coding;description=Putative uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W5B7];gene_id=CPIJ002236;logic_name=vectorbase_culex
CPIJ002238	0	0	1	1	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W5B9]	ID=gene:CPIJ002238;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W5B9];gene_id=CPIJ002238;logic_name=vectorbase_culex
CPIJ002251	0	0	1	1	0	0	1		Guanine-nucleotide-exchange-factor [Source:UniProtKB/TrEMBL%3BAcc:B0W5D2]	ID=gene:CPIJ002251;biotype=protein_coding;description=Guanine-nucleotide-exchange-factor [Source:UniProtKB/TrEMBL%3BAcc:B0W5D2];gene_id=CPIJ002251;logic_name=vectorbase_culex
CPIJ002252	0	0	0	1	0	0	0		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W5D3]	ID=gene:CPIJ002252;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W5D3];gene_id=CPIJ002252;logic_name=vectorbase_culex
CPIJ002270	0	0	0	1	0	0	0		Zinc finger protein [Source:UniProtKB/TrEMBL%3BAcc:B0W5F1]	ID=gene:CPIJ002270;biotype=protein_coding;description=Zinc finger protein [Source:UniProtKB/TrEMBL%3BAcc:B0W5F1];gene_id=CPIJ002270;logic_name=vectorbase_culex
CPIJ002298	0	0	1	1	0	0	0		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W5I3]	ID=gene:CPIJ002298;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W5I3];gene_id=CPIJ002298;logic_name=vectorbase_culex
CPIJ002299	0	0	0	1	0	0	0		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W5I4]	ID=gene:CPIJ002299;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W5I4];gene_id=CPIJ002299;logic_name=vectorbase_culex
CPIJ002301	0	0	0	1	0	0	0		trf-proximal protein [Source:VB Community Annotation]	ID=gene:CPIJ002301;biotype=protein_coding;description=trf-proximal protein [Source:VB Community Annotation];gene_id=CPIJ002301;logic_name=vectorbase_culex
CPIJ002312	0	0	1	0	0	0	0		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W5J7]	ID=gene:CPIJ002312;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W5J7];gene_id=CPIJ002312;logic_name=vectorbase_culex
CPIJ002320	0	0	0	1	0	0	0		Thymidylate kinase [Source:UniProtKB/TrEMBL%3BAcc:B0W5K5]	ID=gene:CPIJ002320;biotype=protein_coding;description=Thymidylate kinase [Source:UniProtKB/TrEMBL%3BAcc:B0W5K5];gene_id=CPIJ002320;logic_name=vectorbase_culex
CPIJ002329	0	0	0	1	0	0	0		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W5L4]	ID=gene:CPIJ002329;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W5L4];gene_id=CPIJ002329;logic_name=vectorbase_culex
CPIJ002330	0	0	1	1	0	0	1		Prefoldin subunit 4 [Source:UniProtKB/TrEMBL%3BAcc:B0W5L5]	ID=gene:CPIJ002330;biotype=protein_coding;description=Prefoldin subunit 4 [Source:UniProtKB/TrEMBL%3BAcc:B0W5L5];gene_id=CPIJ002330;logic_name=vectorbase_culex
CPIJ002332	0	0	0	0	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W5L7]	ID=gene:CPIJ002332;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W5L7];gene_id=CPIJ002332;logic_name=vectorbase_culex
CPIJ002334	0	0	0	0	1	0	0		Importin-4 [Source:UniProtKB/TrEMBL%3BAcc:B0W5L9]	ID=gene:CPIJ002334;biotype=protein_coding;description=Importin-4 [Source:UniProtKB/TrEMBL%3BAcc:B0W5L9];gene_id=CPIJ002334;logic_name=vectorbase_culex
CPIJ002335	0	0	0	0	1	0	0		ATP-dependent RNA helicase DDX51 [Source:UniProtKB/TrEMBL%3BAcc:B0W5M0]	ID=gene:CPIJ002335;biotype=protein_coding;description=ATP-dependent RNA helicase DDX51 [Source:UniProtKB/TrEMBL%3BAcc:B0W5M0];gene_id=CPIJ002335;logic_name=vectorbase_culex
CPIJ002338	0	0	1	1	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W5M3]	ID=gene:CPIJ002338;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W5M3];gene_id=CPIJ002338;logic_name=vectorbase_culex
CPIJ002339	0	0	0	1	0	0	0		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W5M4]	ID=gene:CPIJ002339;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W5M4];gene_id=CPIJ002339;logic_name=vectorbase_culex
CPIJ002344	0	0	1	1	0	0	0		5-formyltetrahydrofolate cyclo-ligase [Source:UniProtKB/TrEMBL%3BAcc:B0W5M9]	ID=gene:CPIJ002344;biotype=protein_coding;description=5-formyltetrahydrofolate cyclo-ligase [Source:UniProtKB/TrEMBL%3BAcc:B0W5M9];gene_id=CPIJ002344;logic_name=vectorbase_culex
CPIJ002348	0	0	0	1	0	0	0		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W5V8]	ID=gene:CPIJ002348;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W5V8];gene_id=CPIJ002348;logic_name=vectorbase_culex
CPIJ002357	0	0	1	1	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W5W7]	ID=gene:CPIJ002357;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W5W7];gene_id=CPIJ002357;logic_name=vectorbase_culex
CPIJ002368	0	0	0	1	0	0	0		polyA-binding protein interacting protein%2C putative [Source:VB Community Annotation]	ID=gene:CPIJ002368;biotype=protein_coding;description=polyA-binding protein interacting protein%2C putative [Source:VB Community Annotation];gene_id=CPIJ002368;logic_name=vectorbase_culex
CPIJ002369	1	0	0	0	0	0	0		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W5X9]	ID=gene:CPIJ002369;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W5X9];gene_id=CPIJ002369;logic_name=vectorbase_culex
CPIJ002370	0	0	1	1	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W5Y0]	ID=gene:CPIJ002370;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W5Y0];gene_id=CPIJ002370;logic_name=vectorbase_culex
CPIJ002376	0	0	0	0	1	0	0		Elongation factor 1-alpha [Source:UniProtKB/TrEMBL%3BAcc:B0W5Y6]	ID=gene:CPIJ002376;biotype=protein_coding;description=Elongation factor 1-alpha [Source:UniProtKB/TrEMBL%3BAcc:B0W5Y6];gene_id=CPIJ002376;logic_name=vectorbase_culex
CPIJ002391	1	0	0	0	0	0	0		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W601]	ID=gene:CPIJ002391;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W601];gene_id=CPIJ002391;logic_name=vectorbase_culex
CPIJ002413	0	0	1	1	0	0	1		Anopheles stephensi ubiquitin [Source:UniProtKB/TrEMBL%3BAcc:B0W5N8]	ID=gene:CPIJ002413;biotype=protein_coding;description=Anopheles stephensi ubiquitin [Source:UniProtKB/TrEMBL%3BAcc:B0W5N8];gene_id=CPIJ002413;logic_name=vectorbase_culex
CPIJ002418	0	0	1	1	0	0	1		COX assembly mitochondrial protein [Source:UniProtKB/TrEMBL%3BAcc:B0W5P3]	ID=gene:CPIJ002418;biotype=protein_coding;description=COX assembly mitochondrial protein [Source:UniProtKB/TrEMBL%3BAcc:B0W5P3];gene_id=CPIJ002418;logic_name=vectorbase_culex
CPIJ002427	0	0	0	1	0	0	0	mRpL4	39S ribosomal protein L4%2C mitochondrial [Source:VB Community Annotation]	ID=gene:CPIJ002427;Name=mRpL4;biotype=protein_coding;description=39S ribosomal protein L4%2C mitochondrial [Source:VB Community Annotation];gene_id=CPIJ002427;logic_name=vectorbase_culex
CPIJ002431	0	0	1	1	0	0	1		hydrogen-transporting ATP synthase%2C G-subunit%2C putative [Source:VB Community Annotation]	ID=gene:CPIJ002431;biotype=protein_coding;description=hydrogen-transporting ATP synthase%2C G-subunit%2C putative [Source:VB Community Annotation];gene_id=CPIJ002431;logic_name=vectorbase_culex
CPIJ002449	0	0	1	1	0	0	1		rRNA-processing protein FCF1 [Source:UniProtKB/TrEMBL%3BAcc:B0W5S4]	ID=gene:CPIJ002449;biotype=protein_coding;description=rRNA-processing protein FCF1 [Source:UniProtKB/TrEMBL%3BAcc:B0W5S4];gene_id=CPIJ002449;logic_name=vectorbase_culex
CPIJ002450	0	0	0	0	1	0	0		chaperonin [Source:VB Community Annotation]	ID=gene:CPIJ002450;biotype=protein_coding;description=chaperonin [Source:VB Community Annotation];gene_id=CPIJ002450;logic_name=vectorbase_culex
CPIJ002453	0	0	1	1	0	0	1		60S ribosomal protein L9 [Source:UniProtKB/TrEMBL%3BAcc:B0W5S8]	ID=gene:CPIJ002453;biotype=protein_coding;description=60S ribosomal protein L9 [Source:UniProtKB/TrEMBL%3BAcc:B0W5S8];gene_id=CPIJ002453;logic_name=vectorbase_culex
CPIJ002461	0	0	1	1	0	0	1		Hect E3 ubiquitin ligase [Source:UniProtKB/TrEMBL%3BAcc:B0W5T6]	ID=gene:CPIJ002461;biotype=protein_coding;description=Hect E3 ubiquitin ligase [Source:UniProtKB/TrEMBL%3BAcc:B0W5T6];gene_id=CPIJ002461;logic_name=vectorbase_culex
CPIJ002496	0	0	0	1	0	0	0		Growth factor independence [Source:UniProtKB/TrEMBL%3BAcc:B0W631]	ID=gene:CPIJ002496;biotype=protein_coding;description=Growth factor independence [Source:UniProtKB/TrEMBL%3BAcc:B0W631];gene_id=CPIJ002496;logic_name=vectorbase_culex
CPIJ002504	0	0	1	0	0	0	0		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W639]	ID=gene:CPIJ002504;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W639];gene_id=CPIJ002504;logic_name=vectorbase_culex
CPIJ002554	0	0	0	0	1	0	0		TFIIA [Source:UniProtKB/TrEMBL%3BAcc:B0W689]	ID=gene:CPIJ002554;biotype=protein_coding;description=TFIIA [Source:UniProtKB/TrEMBL%3BAcc:B0W689];gene_id=CPIJ002554;logic_name=vectorbase_culex
CPIJ002557	0	0	1	1	0	0	0		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W692]	ID=gene:CPIJ002557;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W692];gene_id=CPIJ002557;logic_name=vectorbase_culex
CPIJ002560	0	0	0	1	0	0	0		RNA-binding protein precursor%2C putative [Source:VB Community Annotation]	ID=gene:CPIJ002560;biotype=protein_coding;description=RNA-binding protein precursor%2C putative [Source:VB Community Annotation];gene_id=CPIJ002560;logic_name=vectorbase_culex
CPIJ002566	0	0	1	1	0	0	1		Mitochondrial import inner membrane translocase subunit TIM16 [Source:UniProtKB/TrEMBL%3BAcc:B0W6A1]	ID=gene:CPIJ002566;biotype=protein_coding;description=Mitochondrial import inner membrane translocase subunit TIM16 [Source:UniProtKB/TrEMBL%3BAcc:B0W6A1];gene_id=CPIJ002566;logic_name=vectorbase_culex
CPIJ002567	0	0	1	1	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W6A2]	ID=gene:CPIJ002567;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W6A2];gene_id=CPIJ002567;logic_name=vectorbase_culex
CPIJ002574	1	0	0	0	0	0	0		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W7F9]	ID=gene:CPIJ002574;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W7F9];gene_id=CPIJ002574;logic_name=vectorbase_culex
CPIJ002579	0	0	0	1	0	0	0		Predicted protein [Source:UniProtKB/TrEMBL%3BAcc:B0W7G4]	ID=gene:CPIJ002579;biotype=protein_coding;description=Predicted protein [Source:UniProtKB/TrEMBL%3BAcc:B0W7G4];gene_id=CPIJ002579;logic_name=vectorbase_culex
CPIJ002580	0	0	1	1	0	0	0		Predicted protein [Source:UniProtKB/TrEMBL%3BAcc:B0W7G5]	ID=gene:CPIJ002580;biotype=protein_coding;description=Predicted protein [Source:UniProtKB/TrEMBL%3BAcc:B0W7G5];gene_id=CPIJ002580;logic_name=vectorbase_culex
CPIJ002581	0	0	0	1	0	0	0		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W7G6]	ID=gene:CPIJ002581;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W7G6];gene_id=CPIJ002581;logic_name=vectorbase_culex
CPIJ002594	0	0	1	1	0	0	1		Nadph oxidase [Source:UniProtKB/TrEMBL%3BAcc:B0W7H9]	ID=gene:CPIJ002594;biotype=protein_coding;description=Nadph oxidase [Source:UniProtKB/TrEMBL%3BAcc:B0W7H9];gene_id=CPIJ002594;logic_name=vectorbase_culex
CPIJ002602	0	0	1	0	0	0	0		chitotriosidase-1 precursor [Source:VB Community Annotation]	ID=gene:CPIJ002602;biotype=protein_coding;description=chitotriosidase-1 precursor [Source:VB Community Annotation];gene_id=CPIJ002602;logic_name=vectorbase_culex
CPIJ002608	0	0	1	1	0	0	0		Chemosensory protein [Source:UniProtKB/TrEMBL%3BAcc:B0W7J3]	ID=gene:CPIJ002608;biotype=protein_coding;description=Chemosensory protein [Source:UniProtKB/TrEMBL%3BAcc:B0W7J3];gene_id=CPIJ002608;logic_name=vectorbase_culex
CPIJ002628	0	0	0	1	0	0	0		sensory appendage protein%2C putative [Source:VB Community Annotation]	ID=gene:CPIJ002628;biotype=protein_coding;description=sensory appendage protein%2C putative [Source:VB Community Annotation];gene_id=CPIJ002628;logic_name=vectorbase_culex
CPIJ002629	0	0	1	1	0	0	0		sensory appendage protein%2C putative [Source:VB Community Annotation]	ID=gene:CPIJ002629;biotype=protein_coding;description=sensory appendage protein%2C putative [Source:VB Community Annotation];gene_id=CPIJ002629;logic_name=vectorbase_culex
CPIJ002634	0	0	0	0	1	0	0		membrane traffic protein [Source:VB Community Annotation]	ID=gene:CPIJ002634;biotype=protein_coding;description=membrane traffic protein [Source:VB Community Annotation];gene_id=CPIJ002634;logic_name=vectorbase_culex
CPIJ002639	0	1	1	1	0	0	1		Transcription initiation factor TFIID subunit 13 [Source:UniProtKB/TrEMBL%3BAcc:B0W7M4]	ID=gene:CPIJ002639;biotype=protein_coding;description=Transcription initiation factor TFIID subunit 13 [Source:UniProtKB/TrEMBL%3BAcc:B0W7M4];gene_id=CPIJ002639;logic_name=vectorbase_culex
CPIJ002645	0	0	0	1	0	0	0		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W7N0]	ID=gene:CPIJ002645;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W7N0];gene_id=CPIJ002645;logic_name=vectorbase_culex
CPIJ002646	0	0	1	1	0	0	0		30 kDa salivary gland allergen Aed a 3 precursor [Source:VB Community Annotation]	ID=gene:CPIJ002646;biotype=protein_coding;description=30 kDa salivary gland allergen Aed a 3 precursor [Source:VB Community Annotation];gene_id=CPIJ002646;logic_name=vectorbase_culex
CPIJ002649	0	0	1	1	0	0	1		NADH:ubiquinone dehydrogenase%2C putative [Source:VB Community Annotation]	ID=gene:CPIJ002649;biotype=protein_coding;description=NADH:ubiquinone dehydrogenase%2C putative [Source:VB Community Annotation];gene_id=CPIJ002649;logic_name=vectorbase_culex
CPIJ002651	0	0	0	1	0	0	0		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W7N6]	ID=gene:CPIJ002651;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W7N6];gene_id=CPIJ002651;logic_name=vectorbase_culex
CPIJ002660	0	0	0	1	0	0	0		Glutathione-s-transferase theta%2C gst [Source:UniProtKB/TrEMBL%3BAcc:B0W6A9]	ID=gene:CPIJ002660;biotype=protein_coding;description=Glutathione-s-transferase theta%2C gst [Source:UniProtKB/TrEMBL%3BAcc:B0W6A9];gene_id=CPIJ002660;logic_name=vectorbase_culex
CPIJ002661	0	0	0	1	0	0	0		Glutathione S-transferase 1-6 [Source:UniProtKB/TrEMBL%3BAcc:B0W6B0]	ID=gene:CPIJ002661;biotype=protein_coding;description=Glutathione S-transferase 1-6 [Source:UniProtKB/TrEMBL%3BAcc:B0W6B0];gene_id=CPIJ002661;logic_name=vectorbase_culex
CPIJ002663	0	0	1	1	0	0	0		Glutathione S-transferase 1-1 [Source:UniProtKB/TrEMBL%3BAcc:B0W6B2]	ID=gene:CPIJ002663;biotype=protein_coding;description=Glutathione S-transferase 1-1 [Source:UniProtKB/TrEMBL%3BAcc:B0W6B2];gene_id=CPIJ002663;logic_name=vectorbase_culex
CPIJ002668	0	0	1	0	0	0	0		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W6B7]	ID=gene:CPIJ002668;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W6B7];gene_id=CPIJ002668;logic_name=vectorbase_culex
CPIJ002669	0	0	1	1	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W6B8]	ID=gene:CPIJ002669;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W6B8];gene_id=CPIJ002669;logic_name=vectorbase_culex
CPIJ002676	0	0	1	1	0	0	0		Glutathione S-transferase D7 [Source:UniProtKB/TrEMBL%3BAcc:B0W6C5]	ID=gene:CPIJ002676;biotype=protein_coding;description=Glutathione S-transferase D7 [Source:UniProtKB/TrEMBL%3BAcc:B0W6C5];gene_id=CPIJ002676;logic_name=vectorbase_culex
CPIJ002679	0	0	1	1	0	0	0		Glutathione S-transferase theta-2 [Source:UniProtKB/TrEMBL%3BAcc:B0W6C8]	ID=gene:CPIJ002679;biotype=protein_coding;description=Glutathione S-transferase theta-2 [Source:UniProtKB/TrEMBL%3BAcc:B0W6C8];gene_id=CPIJ002679;logic_name=vectorbase_culex
CPIJ002681	0	0	1	0	0	0	0		Glutathione S-transferase [Source:UniProtKB/TrEMBL%3BAcc:B0W6D0]	ID=gene:CPIJ002681;biotype=protein_coding;description=Glutathione S-transferase [Source:UniProtKB/TrEMBL%3BAcc:B0W6D0];gene_id=CPIJ002681;logic_name=vectorbase_culex
CPIJ002682	0	0	1	1	0	0	0		GSTD2 protein [Source:VB Community Annotation]	ID=gene:CPIJ002682;biotype=protein_coding;description=GSTD2 protein [Source:VB Community Annotation];gene_id=CPIJ002682;logic_name=vectorbase_culex
CPIJ002683	0	0	1	1	0	0	0		Glutathione S-transferase 1-1 [Source:UniProtKB/TrEMBL%3BAcc:B0W6D2]	ID=gene:CPIJ002683;biotype=protein_coding;description=Glutathione S-transferase 1-1 [Source:UniProtKB/TrEMBL%3BAcc:B0W6D2];gene_id=CPIJ002683;logic_name=vectorbase_culex
CPIJ002691	0	1	1	1	0	0	1		Small nuclear ribonucleoprotein F [Source:UniProtKB/TrEMBL%3BAcc:B0W6E0]	ID=gene:CPIJ002691;biotype=protein_coding;description=Small nuclear ribonucleoprotein F [Source:UniProtKB/TrEMBL%3BAcc:B0W6E0];gene_id=CPIJ002691;logic_name=vectorbase_culex
CPIJ002709	0	0	0	1	0	0	0		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W6F8]	ID=gene:CPIJ002709;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W6F8];gene_id=CPIJ002709;logic_name=vectorbase_culex
CPIJ002729	0	0	1	1	0	0	0		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W6H8]	ID=gene:CPIJ002729;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W6H8];gene_id=CPIJ002729;logic_name=vectorbase_culex
CPIJ002730	0	0	0	1	0	0	0		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W6H9]	ID=gene:CPIJ002730;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W6H9];gene_id=CPIJ002730;logic_name=vectorbase_culex
CPIJ002733	0	0	1	1	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W6I2]	ID=gene:CPIJ002733;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W6I2];gene_id=CPIJ002733;logic_name=vectorbase_culex
CPIJ002735	0	0	1	1	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W6I4]	ID=gene:CPIJ002735;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W6I4];gene_id=CPIJ002735;logic_name=vectorbase_culex
CPIJ002737	0	0	1	1	0	0	1		MPA2 allergen [Source:UniProtKB/TrEMBL%3BAcc:B0W6I6]	ID=gene:CPIJ002737;biotype=protein_coding;description=MPA2 allergen [Source:UniProtKB/TrEMBL%3BAcc:B0W6I6];gene_id=CPIJ002737;logic_name=vectorbase_culex
